0,1,0,0,105.8865,26.26384,1460,0,0,0
0,2,1,1,105.8866,26.26384,1460,18,0,0
0,3,2,2,105.8867,26.26384,1460,36,0,0
0,4,3,3,105.8868,26.26384,1460,54,0,0
0,5,4,4,105.8869,26.26384,1460,72,0,0
0,6,5,5,105.887,26.26384,1460,90,0,0
0,7,6,6,105.8871,26.26384,1460,108,0,0
0,8,7,7,105.8872,26.26384,1460,126,0,0
0,9,8,8,105.8873,26.26384,1460,144,0,0
0,10,9,9,105.8874,26.26384,1460,162,0,0
0,11,10,10,105.8875,26.26384,1460,180,0,0
0,12,11,11,105.8876,26.26384,1460,198,0,0
0,13,12,12,105.8877,26.26384,1460,216,0,0
0,14,13,13,105.8878,26.26384,1460,234,0,0
0,15,14,14,105.8879,26.26384,1460,252,0,0
0,16,15,15,105.888,26.26384,1460,270,0,0
0,17,16,16,105.8881,26.26384,1460,288,0,0
0,18,17,17,105.8882,26.26384,1460,306,0,0
0,19,18,18,105.8883,26.26384,1460,324,0,0
0,20,19,19,105.8884,26.26384,1460,342,0,0
0,21,20,20,105.8885,26.26384,1460,0,0,0
0,22,21,21,105.8886,26.26384,1460,18,0,0
