2,1,0,0,105.8865,26.26384,1460,-90,0,0
2,2,1,1,105.8865,26.26385,1460,-90,0,0
2,3,2,2,105.8865,26.26386,1460,-90,0,0
2,4,3,3,105.8865,26.26387,1460,-90,0,0
2,5,4,4,105.8865,26.26388,1460,-90,0,0
2,6,5,5,105.8865,26.26389,1460,-90,0,0
2,7,6,6,105.8865,26.2639,1460,-90,0,0
2,8,7,7,105.8865,26.26391,1460,-90,0,0
2,9,8,8,105.8865,26.26392,1460,-90,0,0
2,10,9,9,105.8865,26.26393,1460,-90,0,0
2,11,10,10,105.8865,26.26394,1460,-90,0,0
2,12,11,11,105.8865,26.26395,1460,-90,0,0
2,13,12,12,105.8865,26.26396,1460,-90,0,0
2,14,13,13,105.8865,26.26397,1460,-90,0,0
2,15,14,14,105.8865,26.26398,1460,-90,0,0
2,16,15,15,105.8865,26.26399,1460,-90,0,0
2,17,16,16,105.8865,26.264,1460,-90,0,0
2,18,17,17,105.8865,26.26401,1460,-90,0,0
2,19,18,18,105.8865,26.26402,1460,-90,0,0
2,20,19,19,105.8865,26.26403,1460,-90,0,0
2,21,20,20,105.8865,26.26404,1460,-90,0,0
2,22,21,21,105.8865,26.26405,1460,-90,0,0
